日期,主口径_电费收入(元),主口径_电费成本(元),主口径_净收益(元),主口径_放电电量(kWh),主口径_充电电量(kWh),主口径_单位收益(元/kWh),物理模型_电费收入(元),物理模型_电费成本(元),物理模型_净收益(元),物理模型_放电电量(kWh),物理模型_充电电量(kWh),物理模型_单位收益(元/kWh),样本模型_电费收入(元),样本模型_电费成本(元),样本模型_净收益(元),样本模型_放电电量(kWh),样本模型_充电电量(kWh),样本模型_单位收益(元/kWh)
2025-06-07,15219.459921747843,5331.37508186551,9888.084839882333,14472.670142400002,17024.98828633406,0.6832246394473959,10479.633688176466,5079.984820689559,5399.648867486907,9965.418113518888,16222.209231006096,0.5418386670762816,15219.459921747843,5331.37508186551,9888.084839882333,14472.670142400002,17024.98828633406,0.6832246394473959
2025-06-08,15193.803604550561,5322.387676865508,9871.415927685053,14448.2727316,16996.288286334056,0.683224639447396,10461.967568130314,5071.421198682791,5390.546369447523,9948.618836183257,16194.862521739713,0.5418386670762815,15193.803604550561,5322.387676865508,9871.415927685053,14448.2727316,16996.288286334056,0.683224639447396
2025-06-09,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959,12017.132911738945,5825.284985745085,6191.84792599386,11427.47519184,18602.2193381609,0.5418386670762816,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959
2025-06-10,16649.95604645472,5832.477711865509,10817.478334589212,15832.9745592,18625.188286334054,0.6832246394473959,11464.627600993477,5557.458964774141,5907.168636219336,10902.080259598208,17746.95502083392,0.5418386670762817,16649.95604645472,5832.477711865509,10817.478334589212,15832.9745592,18625.188286334054,0.6832246394473959
2025-06-11,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959,12017.132911738947,5825.284985745085,6191.847925993862,11427.47519184,18602.219338160896,0.5418386670762817,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959
2025-06-12,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959,12017.132911738945,5825.284985745085,6191.84792599386,11427.47519184,18602.219338160896,0.5418386670762816,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959
2025-06-13,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668117,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.219338160903,0.5418386670762815,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668117,0.6832246394473959
2025-06-14,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.219338160896,0.5418386670762815,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959
2025-06-15,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.219338160896,0.5418386670762815,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959
2025-06-16,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.219338160896,0.5418386670762815,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959
